index,name,temperature_mean,rain_mean,wind_score,score
27,Collioure,18.91,0.89,1.28,16.74
12,Besançon,18.13,0.54,0.98,16.61
8,Strasbourg,17.04,0.0,0.98,16.06
16,Lyon,17.72,0.45,1.28,15.99
21,Aix-en-Provence,18.67,1.81,1.13,15.73
10,Colmar,17.75,1.2,0.98,15.57
22,Avignon,19.17,2.39,1.28,15.5
18,Bormes-les-Mimosas,17.92,1.07,1.43,15.42
15,Grenoble,19.7,3.38,0.98,15.34
11,Eguisheim,17.54,1.26,0.98,15.3
20,Marseille,19.92,3.06,1.73,15.13
5,Paris,15.89,0.0,0.98,14.91
13,Dijon,16.7,0.95,0.98,14.77
19,Cassis,18.87,2.79,1.88,14.2
4,Rouen,15.07,0.0,1.13,13.94
7,Lille,14.84,0.0,0.98,13.86
34,La Rochelle,17.08,1.75,1.58,13.75
9,Château du Haut-Kœnigsbourg,14.74,0.57,0.98,13.19
23,Uzès,17.81,3.34,1.28,13.19
14,Annecy,16.89,2.86,0.98,13.05
6,Amiens,14.05,0.0,1.13,12.92
3,Le Havre,14.17,0.0,1.58,12.59
26,Saintes-Maries-de-la-Mer,18.18,4.01,2.03,12.14
25,Aigues-Mortes,18.52,4.53,1.88,12.11
24,Nîmes,18.37,4.91,1.43,12.03
2,Bayeux,13.37,0.0,1.58,11.79
17,Rougon,13.55,1.22,0.98,11.35
32,Biarritz,15.29,3.63,2.03,9.63
33,Bayonne,14.92,4.88,2.03,8.01
29,Tarascon-sur-Ariège,15.66,8.45,0.98,6.23
30,Toulouse,16.14,10.72,1.73,3.69
31,Montauban,16.51,11.85,1.73,2.93
28,Carcassonne,16.42,12.58,1.43,2.41
0,Mont-Saint-Michel,3.98,0.0,1.58,2.4
1,St. Malo,5.16,1.06,1.73,2.37
